id,barcode,category,category_code,cpg,ref,name,top_brand
58b599fee4b0857c2ddb7256,511111900986,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,,Steel Reserve Alloy Series,False
5a5d278de4b0db471c2d042f,511111800156,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,,Tusk & Grain,
5332f7eee4b03c9a25efd15e,511111103370,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,,Redd's Apple Ale,False
5afda18ee4b0c11cfecd49f5,511111104469,Snacks,,5a734034e4b0d58f376be874,,Lance,False
5a8c363ce4b0ccf165fac9e7,511111104186,Grocery,,5a734034e4b0d58f376be874,,Pacific Foods,False
5dd557081dda2c1971449a7a,511111606376,Dairy,,5332f5f3e4b03c9a25efd0ae,,Yoplait® Dunkers,
5332f774e4b03c9a25efd126,511111603641,,,5332f5f3e4b03c9a25efd0ae,,Fiber One,
5f4802bdbe37ce0c8303373f,511111415855,Baking,BAKING,5f4802bdbe37ce0c8303373c,,test brand @1598554813705,
5a021703e4b00efe02b02a58,511111800590,Canned Goods & Soups,,5332f5f6e4b03c9a25efd0b4,,LIPTON Soup,False
5dc2da1fa60b873d6b0666d3,511111406341,Breakfast & Cereal,,53e10d6368abd3c7065097cc,,Minions™ Cereal,
5d2f69a6a3a01810a2174aec,511111504856,Household,,5332f5f6e4b03c9a25efd0b4,,LOVE HOME AND PLANET,
5f208dafbe37ce7958c59522,511111015185,Baking,BAKING,5f208daebe37ce7958c59520,,test brand @1595968943012,
5f2336cfbe37ce7958c5952c,511111715276,Health & Wellness,HEALTHY_AND_WELLNESS,5f036ccc2455c947fde9362f,,OneTouch®,
5f3e9172be37ce5a0e01b953,511111015536,Baking,BAKING,5f3e9172be37ce5a0e01b952,,test brand @1597935986247,
55a41b88e4b0d0a65b3692f0,511111902690,Dairy,,559c2234e4b06aca36af13c6,,Kraft,False
5daf70071dda2c3e1416ae9e,511111906124,Breakfast & Cereal,,5332f5f3e4b03c9a25efd0ae,,Basic 4™,
5a8c31bfe4b0ccf165fac9e4,511111804116,Canned Goods & Soups,,5a734034e4b0d58f376be874,,Wolfgang Puck,False
5f7760f0be37ce1d26d7b7a5,511111516842,Baking,BAKING,5f7760f0be37ce1d26d7b7a2,,test brand @1601659120828,
5f99f71bbe37ce13da9eadea,511111317159,Baking,BAKING,5f99f71bbe37ce13da9eade6,,test brand @1603925787441,
5a8c378ce4b07f0a2dac8946,511111704218,Breakfast & Cereal,,53e10d6368abd3c7065097cc,,The Soulfull Project,
5f493682be37ce52f8314fd0,511111815945,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,,test brand @1598633602924,
580dff97e4b0f32b2de21381,511111901860,Baking,,559c2234e4b06aca36af13c6,,Dream Whip,False
5f38578fbe37ce5178517ad7,511111815457,Baking,BAKING,5f38578fbe37ce5178517ad3,,test brand @1597527951461,
5fd2a0bfbe37ce49eb72c0f0,511111718123,Baking,BAKING,5fd2a0bfbe37ce49eb72c0ef,,test brand @1607639231623,False
5332fa6be4b03c9a25efd217,511111903062,,,5332fa12e4b03c9a25efd1e7,,Brew Pub,
5a8f64c6e4b0a2e2844f5695,511111104254,Snacks,,5a734034e4b0d58f376be874,,Kjeldsen,False
5f493dabbe37ce64d0ae36bd,511111316046,Baking,BAKING,5f493dabbe37ce64d0ae36ba,,test brand @1598635435896,
57ebc134e4b0ac389136a33d,511111602040,Dairy,,559c2234e4b06aca36af13c6,,Kraft Cheese,False
5f5bc4f1be37ce17125ac0ea,511111316602,Baking,BAKING,5f5bc4f1be37ce17125ac0e8,,test brand @1599849713772,
5fd29591be37ce38bbbefb2a,511111418092,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,,test brand @1607636369405,False
5f77274bbe37ce6b592e90bc,511111916727,Baking,BAKING,5f77274bbe37ce6b592e90b9,,test brand @1601644363827,
5a8c35dde4b0ccf165fac9e6,511111904175,Grocery,,5a734034e4b0d58f376be874,,Pepperidge Farm,False
5332f760e4b03c9a25efd11a,511111803720,,,5332f5ebe4b03c9a25efd0a8,,Honest Tea,
5f4802d2be37ce0c83033743,511111315889,Baking,BAKING,5f4802d2be37ce0c83033742,,test brand @1598554834882,
60074277be37ce360be639ff,511111919803,Baking,BAKING,60074277be37ce360be639fe,,test brand @1611088503689,False
5332f9f0e4b03c9a25efd1c3,511111203278,Snacks,,5332f5f2e4b03c9a25efd0aa,,Pringles,
